,Label,candidate,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question
289,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
290,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
291,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
292,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
293,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
294,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
295,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
296,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
297,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
298,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
299,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
300,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
301,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
302,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
303,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
304,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
